3000.34	5.7628717
3003.77	2.1492677
3007.19	3.0940008
3010.62	0.47236654
3014.05	0.47236654
3017.47	1.4170996
3020.9	1.4170996
3024.33	0.9447331
3027.75	0.23618327
3031.18	0.7085498
3034.6	1.1809163
3038.03	0.47236654
3041.46	0.7085498
3044.88	0.23618327
3048.31	0.9447331
3051.74	0.9447331
3055.16	2.8578176
3058.59	1.8894662
3062.02	1.4170996
3065.44	1.4170996
3068.87	1.8894662
3072.29	1.4170996
3075.72	0.9447331
3079.15	0.9447331
3082.57	1.4170996
3086	1.9130845
3089.43	2.8578176
3092.85	5.2432685
3096.28	8.219178
3099.7	16.627302
3103.13	68.58762
3106.56	123.098724
3109.98	226.97214
3113.41	381.10535
3116.84	416.43835
3120.26	577.3264
3123.69	399.03165
3127.11	209.87247
3130.54	173.24043
3133.97	100.094475
3137.4	40.788853
3140.82	24.58668
3144.25	13.438828
3147.68	9.872461
3151.1	4.085971
3154.53	5.9754367
3157.95	4.5111003
3161.38	1.1809163
3164.81	3.0703826
3168.23	0.47236654
3171.66	1.8894662
3175.08	1.6532829
3178.51	0.47236654
3181.94	1.8894662
3185.37	2.3618326
3188.79	0.7085498
3192.22	1.8894662
3195.65	1.4170996
3199.07	1.4170996
